transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,phone,payment_status,master_category,master_price,email_hash,revenue,year,month
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,90******98,successful,Home Appliances,65000,c5f829302296e1c2e9c8ce7f4a59fa56e01d59488851053529fb66a3ad5061dd,260000.0,2026,February
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,65******22,successful,Home Appliances,65000,e7f779b76a2b0d1be8c1ec2ccd3f8685316ed57130009eacec74f64ce3ef4362,243750.0,2026,January
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,76******27,successful,Clothing,8000,7994dd1de38b1118558ca1ca7d41855a8c0c42f7ff4044447b62896a94acecba,34000.0,2025,August
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,79******19,successful,Electronics,70000,fac4dcc8ab7348aa83d911264d07925b9f733b815ce06bb28547fedb07d981eb,178500.0,2025,May
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,75******31,successful,Home Appliances,15000,75bd6f84632b1688ccf56ddc68770b36b05811d27807b5f5fb0655d10e95184c,25500.0,2025,May
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,71******16,successful,Clothing,1300,831c6126f8a1de713d8632770c2566155e5c2d0ced549b90d0758edae64c0d1c,4160.0,2025,September
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,64******39,successful,Clothing,8000,25a9d1c837f4bf2812bcc3ed8ebb759fe08eeb63c6e02247ad8cc10d86874f62,6800.0,2025,July
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,92******32,successful,Home Appliances,65000,23f282bd744c97705ad26bcf56a6d8c77539f407c2457adf39ae0014fe17b9b4,185250.0,2025,December
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,60******93,successful,Home Appliances,65000,f804854d80f8e7b8282b518b85d49a3b04e31e00e852d6b85bd0c5c316d7de7a,156000.0,2025,March
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,92******48,successful,Home Appliances,15000,5e6f5536a427d3fbd6ea71f1c859a2295451d6abc5d077109d81857dea0e543a,22500.0,2026,April
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,74******44,successful,Home Appliances,15000,08194ee6d135d934e7d0321240c43f7fd76a2cb0f9dbcb3c7e8f9c7daf748b66,33750.0,2025,May
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,99******09,successful,Electronics,70000,e85a7a09d6dca5929883dce5a1217bb242b0d7843835621294dd1c824464795a,49000.0,2025,August
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,68******43,successful,Furniture,80000,8318efc7a721b12bf05c325351d78424b571cb4130b1f8a2602d30190b28e09c,76000.0,2026,January
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,82******14,successful,Electronics,45000,a024997c5651f4411537ebb806814534febcace615b62465d94f79bb8ebae92f,180000.0,2025,November
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,65******86,successful,Furniture,50000,f1b5203b101f9022599b48a3b2ab5b84df11f001df2ef25839a2056d931fd23c,35000.0,2025,November
29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,71******63,successful,Home Appliances,65000,38878d194d81226c14a1998858917cc7069bd1cafc635e6fa376320e9f561484,91000.0,2025,June
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,96******41,successful,Furniture,80000,ee79682e79ab757b458c0e1301e157db99d1fd134c1be6eac5f2c32a0b0b24e6,380000.0,2025,July
31,455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,98******87,successful,Furniture,50000,021fdd12229b1dccb0b46f65afcc82ea433e5a1babe490a350ddbc1718c8b2a2,140000.0,2025,June
32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,98******16,successful,Electronics,45000,ab0006ae0a752b7d16e45025179a49302ecc828b1171fd3ef17ae8925ff6cc4d,108000.0,2025,November
34,968,Keith Davis,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,63******12,successful,Furniture,50000,7200b56e33ad623e51c35b5b9703e693c583e789d0cf8352ade3392e81b3a460,170000.0,2025,November
35,390,Erika Knight,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,88******25,successful,Home Appliances,45000,002e230a14753479faa5bef3a74da4610e857b4e4b7b992a12ef59e25302bbf3,81000.0,2025,May
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,77******93,successful,Electronics,70000,8c51fb1e34f92f845932b5204e80a397331a4d8abc4058dd2e132f4d5da91a7b,126000.0,2025,July
37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,69******49,successful,Clothing,1300,759d457bc519089082643577b0a740c82c9cbcbf86a064f885dacfe803adf1d9,3510.0,2026,January
38,437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,99******06,successful,Clothing,8000,fe3c471c23522b47421db9cae00a4f01e88ee91705ab924c3e24203cef5bc63e,6000.0,2026,January
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,61******10,successful,Clothing,8000,495666da97215ae82318316ff943a8800abae2e5a395c4d59f51b9b361c5e840,7200.0,2025,December
40,391,Catherine Beard,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,92******05,successful,Clothing,1300,9f58d044673af925ce04a88a0d83e2585b613ed11e52411572b6547fef36185b,1819.9999999999998,2026,August
41,743,Dorothy Davis,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,84******00,successful,Clothing,1300,21b9256b2dc4eaec40590e7555a8db5a32f9ff4a9793e6d26de996e02d68ea36,3510.0,2025,December
42,17,Duane Hall,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,74******49,successful,Electronics,45000,ebb6c6dfe3b541831f15161769c5bf41b8bbb024f6411827b053836ce821ec5c,62999.99999999999,2025,July
43,861,Tim Brock,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,88******91,successful,Electronics,45000,ad972f3e86af2111d6d9c8a54628697e91c72887b5b1d2fec9822819b61e4970,135000.0,2025,May
44,213,Nancy Lee,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,88******42,successful,Clothing,8000,839a63fef735376c205b347b958be55da99de95e793775baf84361fbeeba01c6,18000.0,2025,May
45,220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,73******10,successful,Clothing,8000,c76ab918524edd26ba90c27092cb6025cd4ad445a8034e1a744a3c8e2c6bcb70,27200.0,2025,November
46,463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,80******73,successful,Clothing,8000,82517fa8d5c87d23de33c09519d379699e04d1425c16002a263a311f80d935d4,36000.0,2025,April
47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,96******50,successful,Electronics,250000,29eb9dae4c5607e26afe03e349b6f1305098f8d55bf1e9501fe8ebb6a0e0735e,900000.0,2025,August
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,89******56,successful,Home Appliances,15000,36cb6b29605f90a285321306ac65b8d1dc2bae5db5f3f0c3bf6d475b13d07355,11250.0,2025,July
49,971,Larry Ramos,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,89******14,successful,Clothing,1300,2cdff5bb460296020781eac93c84a9e1dfb2c0e531c81abc30b3f3c5826c5a7d,5200.0,2025,July
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,89******11,successful,Furniture,80000,1dda34f3a8c9ce952c56b4f52730defda8d636f5958334da4c679a29e9f741af,340000.0,2025,May
51,485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,84******57,successful,Furniture,50000,b4add930b3e517d8f0b5c7ece3568bd22fdff0adfec268dc5aa5d2cdbf971213,90000.0,2025,July
52,883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,60******22,successful,Clothing,8000,6c164b15e77002bde0c041e0267f3f33643d1924c7dbb78f54898621bd8eaa08,4800.0,2025,July
53,202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,65******99,successful,Clothing,1300,31a58b7cecbfb6d45a52ad268be567e2c40845ee8b9ff3db2d29dcbaf1758947,1105.0,2025,November
54,817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,82******66,successful,Furniture,50000,aab66299ef9b27e20d47501aed00a6b7bed14967cedf54517506f97e8dace882,112500.0,2025,July
55,801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,74******83,successful,Clothing,8000,178c5a79c6e78d2eda894490dd22b4f4c4a5a998ae7b206f4344548971efb6e2,28000.0,2025,October
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,92******78,successful,Clothing,8000,d8ab4780a03f23d4999c052542ccf2ca24cd1f49a81c1b036696f0168d2abda0,9600.0,2026,February
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,83******77,successful,Electronics,45000,b94c1522b70d47f00abc49ac947eed1c74f16aa53fce19ac34c0b7731b741fe0,180000.0,2025,December
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,83******77,failed,Electronics,45000,b94c1522b70d47f00abc49ac947eed1c74f16aa53fce19ac34c0b7731b741fe0,180000.0,2025,December
58,873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,68******34,successful,Electronics,250000,0316e141aed4d0c833de7cbf0254ea2e03778e391e037dbce5af3413b35279db,637500.0,2025,October
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,70******16,successful,Home Appliances,15000,e42e15768da2a9b674df11f18e1069faa449917d02434623fb3c5a8342dca42e,38250.0,2025,July
60,874,Samuel Patel,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,68******67,successful,Furniture,80000,353296568ff9fab18059185a83d8f0d2a3499768c55a55d610f4bcba83b3fd26,300000.0,2025,May
61,507,Thomas Cameron,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,92******64,successful,Clothing,8000,d1a3662414787e46f75a4c7dfc80a30ace6eb31de5488f1e9b660701cb9f4138,11200.0,2025,December
62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,70******21,successful,Clothing,8000,47274124ed6cea6f7e308d2692db3269d2bfd14614db4c8f72f13d61846f3cff,30400.0,2025,June
63,182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,88******67,successful,Furniture,50000,b968291086a95323d5bba7d5a446dfa484cd63bf57e8e25fc7e2bf74b5720cd9,162500.0,2026,February
64,341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,76******55,successful,Home Appliances,45000,6dba4c70a461d0ad3d43d0dc9817cd3f2aea2d647c3d8f80d67633470185b8c4,121500.0,2025,December
65,937,Nicole Woods,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,93******75,successful,Home Appliances,15000,222801174f3e68d9dba2b85c643ab89edc17c4c64dbeababa062c61b3966b69a,22500.0,2025,April
66,164,Shawn Stewart,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,71******54,successful,Clothing,8000,b49023f0bee370414cd5d009ad3aa042b02b1105fb6bc41e829785165754764b,11200.0,2025,April
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,98******24,successful,Home Appliances,65000,439c379db3104f1775b7d94c3bb5fb7da619570aa9a03f7d9795fc13f5684505,136500.0,2026,April
68,603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,64******75,successful,Clothing,8000,9d472fcd9bd2f759c005cb2055ad0b610f6e8f8b792a350e47e333373d030351,27200.0,2025,September
69,656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,90******07,successful,Clothing,8000,448ef813a5248beb5d33c9eff9267e91e6bddb7e0572bb3132d06cf5ad916419,7200.0,2025,August
70,687,Robert Estrada,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,86******73,successful,Home Appliances,45000,c3247b8e7d93f18177755e97012815788f24b57e3afc4d29cce01c6e38304046,40500.0,2026,April
71,186,Dawn Garrett,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,96******01,successful,Electronics,45000,79680eda3b6a449222dc65431c9a8ea1135f0b51f11ec4e086fc861a020fffd5,62999.99999999999,2026,January
72,865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,93******60,successful,Electronics,70000,e3592139e35c685053cfae7009c4f6e4c20ba3034c91d18a59d67a907a108aad,56000.0,2026,April
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,91******27,successful,Electronics,250000,4bea21dfb692c8467a967765c6baea13dd2f1e0ea834f3638e9fc372ec04a9fd,900000.0,2026,March
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,89******21,successful,Home Appliances,15000,1ec3d340009a49b7bef53a20565c3be89393277b139578ffbfec6f40b7cee8ba,13500.0,2025,August
78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,68******67,successful,Clothing,8000,353296568ff9fab18059185a83d8f0d2a3499768c55a55d610f4bcba83b3fd26,28800.0,2025,June
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,72******62,successful,Electronics,70000,57a55b9550f75bc8de4f58e05098c93805b9c3afdcad32b88448f39709bf1949,244999.99999999997,2025,May
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,65******68,successful,Home Appliances,15000,5477286d77cee4d02f0f9599428a627ffed898555933e2eb8b11dd5915099a84,71250.0,2025,June
81,704,Susan Thomas,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,60******32,successful,Furniture,50000,d0eaa2e61d6d7ea439efb1f67011431e81c3a1344bb32bc2caefac78e9bea049,187500.0,2026,April
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,60******23,successful,Electronics,250000,d3a60d71674bec4b1767dd6de907b4fee5a31a67971ad4bc406f9d41942fa3b2,600000.0,2025,June
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,60******23,failed,Electronics,250000,d3a60d71674bec4b1767dd6de907b4fee5a31a67971ad4bc406f9d41942fa3b2,600000.0,2025,June
83,11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,82******60,successful,Home Appliances,45000,94996625068723cbf9e80a28bce46f1407ffcf1cdcbce738bcb8fdb01580e696,108000.0,2025,June
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,81******61,successful,Electronics,45000,59712e06dd3e791240c47f488e2c650aa5ddc83e591941a2ffb887bcf2b88c93,180000.0,2025,November
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,81******61,failed,Electronics,45000,59712e06dd3e791240c47f488e2c650aa5ddc83e591941a2ffb887bcf2b88c93,180000.0,2025,November
85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,95******27,successful,Electronics,250000,c301911d36f42b7a026ae847d604ac2c612d4c23961291c15e0cb3a0702c7a25,1125000.0,2025,August
86,427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,60******70,successful,Clothing,1300,726f2bf24a40a3b4a330fbb3db903eec82b37236962776fd26609fc3c1a169c8,4940.0,2026,January
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,79******36,successful,Electronics,70000,716eaa87d41bd6c37ac8a45267e5a7377fc0d7c3a44475ec132ebf70dbaaedfd,59500.0,2025,November
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,81******90,successful,Home Appliances,45000,afc12ad7c2b1d3b34e95b56e4b2cdf43e6f7a3cc2bb9f33f4493186fa4a36b13,108000.0,2026,February
89,992,William Rose,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,69******06,successful,Furniture,50000,0d1e8c8c55df93f60243b1d8a5fb72de70bc1d81c2dcd79b233d3a09e9672098,212500.0,2025,December
90,439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,89******74,successful,Electronics,70000,dcdeb9afe38eed030297a327c18707ad3e8dfb810a2fa44bf8099a1dda7550ec,126000.0,2026,March
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,67******88,successful,Electronics,70000,be43f314624b421feccb992f36bac8c8b1055ff7aec155d1cb92aecbff560a66,42000.0,2026,January
92,728,Lisa Miller,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,87******95,successful,Home Appliances,15000,4fdac8377bcedb28f81b68f0a705c723fa8db723aaf81bae28160a1f37eaea1a,14250.0,2026,March
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,82******32,successful,Electronics,70000,79aac7227a9c2ca2174bd4adcd693678c24897d18e3a00d10361fe8b3314e100,297500.0,2025,December
94,50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,60******85,successful,Clothing,8000,12a13a49dea01990cf597c22fabd0d4051b0f9e7cb783b454f3af15341d50957,24000.0,2025,February
95,478,Crystal Mejia,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,84******87,successful,Furniture,50000,9e78e9a427724dd07dc6cc7f8d9a962a11fc0b0ea87f3df4ed5bc9ac6ec3e7b5,30000.0,2025,July
96,153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,96******01,successful,Home Appliances,45000,81d76d5fc5a56873d2e21cdb1c2968b6c8cb660e37dbdcf81d3d57b68c6bd899,38250.0,2025,December
98,372,Brandon Gordon,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,78******02,successful,Electronics,45000,735517cb6ffef86351d258acdf08c8284f1be3d4205d421de84cda4535018029,191250.0,2025,October
99,753,Kelly Ball,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,65******69,successful,Electronics,70000,641a1e390bd1eaab1e00a2358c03674483bd762b42d3a5193fcddf88c416b9f2,178500.0,2025,October
100,864,Cameron Black,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,99******77,successful,Home Appliances,65000,f842de5fc6e0b75b586d413b7f3d48e6dc07751f2385c2bd38e503377b43b861,55250.0,2025,April
101,645,Joshua Burton,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,67******88,successful,Electronics,70000,be43f314624b421feccb992f36bac8c8b1055ff7aec155d1cb92aecbff560a66,52500.0,2026,February
102,1000,Shannon Haley,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,76******01,successful,Clothing,1300,0afe9899b036930f0c3c383b7ad3136568096a69c1d08d3cb2a4301d96640c3e,3315.0,2025,May
103,909,Jacqueline Frye,105,45000.0,Tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,60******95,successful,Electronics,45000,b7bc3ad91c34dcb7476112d46b58931728e9eb5ffa97ec91dbfb9a379eb57a22,87750.0,2025,September
104,788,William Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,85******93,successful,Furniture,50000,9549234d8c813d49d9207b55137f3a303aaa67a2d976eb09807531443ca17374,85000.0,2025,June
105,713,Jason Griffin,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,89******07,successful,Furniture,50000,33d0498fc058e1f019e9479799a125a860f1da5937b1c4fb7c42f9dca86e10be,47500.0,2026,February
106,54,Jessica Hernandez,105,45000.0,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,71******54,successful,Electronics,45000,c2484578a36fec04c41a3dfea89136e407d6e790090c7e130a3e1b54fefab2b1,85500.0,2026,February
107,89,Joseph Davis,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,73******48,successful,Furniture,80000,8ad46431983c9a027829c7aee83479c2523f334f779f4d58af6b4ddd789bd41b,208000.0,2025,March
108,724,Kimberly Winters,103,1300.0,Shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,84******93,successful,Clothing,1300,0ff3b92ed6c76c752922d8cdaeed55063b97e67c56d8f36acf0d634dee9fc08b,3380.0,2025,June
109,128,Ethan Porter,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,69******64,successful,Clothing,8000,f5ce7c8c8577bd2d49c325f9af19f9f39a2d6fe0add4ae54eeda433bb87df488,19200.0,2026,February
110,264,Kelli Johnson,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,98******31,successful,Furniture,50000,3aaa6ae0a7b9a1c8b63158b1c3de5f2ac397ffd9e5820b12ded699bba5bc097b,80000.0,2025,August
111,637,Kevin King,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,89******30,successful,Furniture,80000,ac31a7e7c3c2abae18e68715840308acd9f94155b6791e6212e9dcf4ab6f59c8,360000.0,2026,February
112,381,Melissa Garza,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,69******06,successful,Electronics,70000,1fa83948db38c630f4d5085b30174fee8d20ade842c046524a92e4c0f51492a0,59500.0,2025,September
